museum_name	address	city	state	phone_number	email	website	requirements
New Britain Youth Museum and Hungerford Nature Center	191 Farmington Ave., Berlin, CT 06037	Berlin	CT	(860) 827-9064	info@nbymhnc.org	www.hungerfordnaturecenter.org	
Wings Over the Rockies	7711 East Academy Boulevard, Denver, CO 80230	Denver	CO	(303) 360-5360	Membership@wingsmuseum.org	https://wingsmuseum.org/	
Stepping Stones Museum for Children	303 West Ave, Norwalk, CT 06850	Norwalk	CT	(203) 899-0606	membership@steppingstonesmuseum.org	https://www.steppingstonesmuseum.org/	Proof of Residence Required
The Children's Museum	180 Mohegan Drive, West Hartford, CT 06117	West Hartford	CT	(860) 231-2830		https://www.thechildrensmuseumct.org/	Proof of Residence Required
Yale Peabody Museum	170 Whitney Ave, New Haven, CT 06511-8902	New Haven	CT	(203) 432-8987	peabody.membership@yale.edu	https://peabody.yale.edu/	
Delaware Museum of Nature and Science	4840 Kennett Pike, Wilmington, DE 19807	Wilmington	DE	(302) 658-9111	info@delmns.org	https://delmns.org/	
Cade Museum for Creativity and Invention	811 S Main St, Gainesville, FL 32601	Gainesville	FL	(352) 371-8001	info@cademuseum.org	https://www.cademuseum.org/	
Challenger Learning Center of Tallahassee	200 S Duval St, Tallahassee, FL 32301	Tallahassee	FL	(850) 645-7827	sales@challengertlh.com	https://www.challengertlh.com/	
Iron Hill Museum & Science Center	1115 Robert L Melson Ln, Newark, DE 19702	Newark	DE	(302) 368-5703	director@ironhillsciencecenter.org	https://www.ironhillsciencecenter.org/	Proof of Residence Required
Discovery Center	701 NE Sanchez Ave, Ocala, FL 34470	Ocala	FL	(352) 401-3900	Discovery@ocalafl.gov	https://www.mydiscoverycenter.org/	
Emerald Coast Science Center	31 SW Memorial Parkway, Fort Walton Beach, FL 32548	Fort Walton Beach	FL	(850) 664-1261	membership@ecscience.org	https://www.ecscience.org/	
Florida Air Museum	4175 Medulla Rd, Lakeland, FL 33811	Lakeland	FL	(863) 904-6833	museum@flysnf.org	https://www.floridaairmuseum.org	
Florida Museum of Natural History	3215 Hull Road, Gainesville, FL 32611	Gainesville	FL	(352) 846-2000	members@floridamuseum.ufl.edu	https://www.floridamuseum.ufl.edu/	
Gillespie Museum	234 E Michigan Ave, Deland, FL 32724	Deland	FL	(386) 822-7330	gillespiemuseum@stetson.edu	https://www.stetson.edu/other/gillespie-museum	
Great Explorations Children's Museum	1925 4th St N, Saint Petersburg, FL 33704	Saint Petersburg	FL	(727) 821-8992	info@greatex.org	https://greatex.org/	Proof of Residence Required
IMAG History & Science Center	2000 Cranford Ave, Fort Myers, FL 33916	Fort Myers	FL	(239) 243-0043	imag@cityftmyers.com	https://theimag.org/	Proof of Residence Required
Loggerhead Marinelife Center	14200 US Highway 1, Juno Beach, FL 33408	Juno Beach	FL	(561) 627-8280		https://marinelife.org/	
MOSI (Museum of Science & Innovation)	4801 E Fowler Ave, Tampa, FL 33617	Tampa	FL	(813) 987-6000	membership@mosi.org	https://www.mosi.org/	Proof of Residence Required
Museum of Discovery and Science	401 SW 2nd St, Fort Lauderdale, FL 33312	Fort Lauderdale	FL	(954) 467-6637	members@mods.org	http://mods.org/	Proof of Residence Required
Museum of Science & History of Jacksonville	1025 Museum Cir, Jacksonville, FL 32207	Jacksonville	FL	(904) 396-6674		https://themosh.org/	
Orlando Science Center	777 E Princeton St, Orlando, FL 32803	Orlando	FL	(407) 514-2000	oscmembership@osc.org	https://www.osc.org/	Proof of Residence Required
Pensacola MESS Hall	418 E Wright St, Pensacola, FL 32501	Pensacola	FL	(877) 937-6377	info@pensacolamesshall.org	https://pensacolamesshall.org/	Proof of Residence Required
Phillip and Patricia Frost Museum of Science	1101 Biscayne Blvd, Miami, FL 33132	Miami	FL	(305) 434-9600	Membership@frostscience.org	https://www.frostscience.org/	Proof of Residence Required
Science and Discovery Center of Northwest Florida	308 Airport Rd, Panama City, FL 32405	Panama City	FL	(850) 769-6128	sdc@sdcnwfl.org	https://scienceanddiscoverycenter.org/	
The Bishop Museum of Science and Nature	201 10th St W, Bradenton, FL 34205	Bradenton	FL	(941) 746-4131	CommunityEngagement@BishopScience.org	https://bishopscience.org/	Proof of Residence Required
Maui Ocean Center	192 Maalaea Rd, Wailuku, HI, 96793	Wailuku	HI	(808) 270-7000	aloha@mauioceancenter.com	https://mauioceancenter.com/	
Discovery Center of Idaho	131 W Myrtle St, Boise, ID 83702	Boise	ID	(208) 343-9895	discoverycenterofidaho@scidaho.org	https://www.dcidaho.org/	
Idaho Museum of Natural History	698 E Dillon St, Pocatello, ID 83201	Pocatello	ID	(208) 282-3168	imnh@isu.edu	https://www.isu.edu/imnh/	
Burpee Museum of Natural History	737 N Main St, Rockford, IL 61103	Rockford	IL	(815) 965-3433	burpee@burpee.org	http://www.burpee.org/	Proof of Residence Required
Cernan Earth and Space Center at Triton College	2000 5th Ave, River Grove, IL 60171	River Grove	IL	(708) 456-0300	cernan@triton.edu	https://www.triton.edu/cernan	
Children's Discovery Museum	101 East Beaufort Street, Normal, IL 61761	Normal	IL	(309) 433-3444	museum@normal.org	https://www.childrensdiscoverymuseum.net/	Proof of Residence Required
Children's Museum of Illinois	55 South Country Club Road, Decatur, IL 62521	Decatur	IL	(217) 423-5437	info@cmofil.org	https://cmofil.org/	
Discovery Center Museum	711 N Main St, Rockford, IL 61103	Rockford	IL	(815) 963-6769	adminassistant@discoverycentermuseum.org	https://www.discoverycentermuseum.org/	Proof of Residence Required
Griffin Museum of Science and Industry	5700 South DuSable Lake Shore Drive, Chicago, IL 60637	Chicago	IL	(773) 684-1414	membership@griffinmsi.org	https://www.griffinmsi.org/	Proof of Residence Required
International Museum of Surgical Science	1524 N Lake Shore Dr, Chicago, IL 60610	Chicago	IL	(312) 642-6502	info@imss.org	https://imss.org/	
Kidzeum of Health and Science	412 E Adams St, Springfield, IL 62701	Springfield	IL	(217) 679-2123	info@kidzeum.org	https://kidzeum.org/	Proof of Residence Required
Peggy Notebaert Nature Museum	2430 N Cannon Dr, Chicago, IL 60614	Chicago	IL	(773) 755-5100	membership@naturemuseum.org	https://www.naturemuseum.org/	Proof of Residence Required
Peoria PlayHouse Children's Museum	2218 N Prospect Rd, Peoria, IL 61603	Peoria	IL	(309) 323-6893	playhouse@peoriaparks.org	https://peoriaplayhouse.org/	Proof of Residence Required
Carnegie Museum of Montgomery County	222 S Washington St, Crawfordsville, IN 47933	Crawfordsville	IN	(765) 362-4618	info@carnegiemuseum.in.gov	https://carnegiemuseum.in.gov/	
Evansville Museum of Arts, History and Science	411 SE Riverside Dr, Evansville, IN 47713	Evansville	IN	(812) 425-2406	tarrah@emuseum.org	https://emuseum.org/	Proof of Residence Required
Peoria Riverfront Museum	222 SW Washington St, Peoria, IL 61602	Peoria	IL	(309) 686-7000	development@peoriariverfrontmuseum.org	https://www.peoriariverfrontmuseum.org/	Proof of Residence Required
The Science Center	1237 E Main St # 1048, Carbondale, IL 62901	Carbondale	IL	(618) 529-5431	si.sciencecenter@gmail.com	https://sciencecentersi.com/	
Imagination Station	600 N 4th St, Lafayette, IN 47901	Lafayette	IN	(765) 420-7780	info@imagination-station.org	https://www.imagination-station.org/	
Indiana State Museum and Historic Sites	650 W Washington St, Indianapolis, IN 46204	Indianapolis	IN	(317) 232-1637	museumcommunication@indianamuseum.org	https://www.indianamuseum.org	Proof of Residence Required
Minnetrista Museum & Gardens	1200 N Minnetrista Pkwy, Muncie, IN 47303	Muncie	IN	(765) 282-4848	info@minnetrista.net	https://minnetrista.net/	
Muncie Children's Museum	515 S High St, Muncie, IN 47305	Muncie	IN	(765) 286-1660		https://www.munciemuseum.com	
Science Central	1950 North Clinton Street, Fort Wayne, IN 46805	Fort Wayne	IN	(260) 424-2400	members.crew@sciencecentral.org	https://www.sciencecentral.org/	
Family Museum	2900 Learning Campus Dr, Bettendorf, IA 52722	Bettendorf	IA	(563) 344-4106	familymuseum@bettendorf.org	https://familymuseum.org/	Proof of Residence Required
Terre Haute Children's Museum	727 Wabash Ave, Terre Haute, IN 47807	Terre Haute	IN	(812) 235-5548	info@terrehautechildrensmuseum.com	https://thchildrensmuseum.com/	Proof of Residence Required
WonderLab Museum of Science, Health and Technology	308 W. 4th Street, Bloomington, IN 47404	Bloomington	IN	(812) 337-1337	membership@wonderlab.org	https://www.wonderlab.org/	
Putnam Museum and Science Center	1717 W 12th St, Davenport, IA 52804	Davenport	IA	(563) 324-1933	ncalzada@putnam.org	https://www.putnam.org/	
Cosmosphere	1100 North Plum Street, Hutchinson, KS 67501	Hutchinson	KS	(620) 665-9310	membership@cosmo.org	https://cosmo.org/	
Exploration Place, The Sedgwick County Science and Discovery Center	300 N McLean Blvd, Wichita, KS 67203	Wichita	KS	(316) 660-0600	discover@exploration.org	https://exploration.org/	Proof of Residence Required
Flint Hills Discovery Center	315 S 3rd St, Manhattan, KS 66502	Manhattan	KS	(785) 587-2726	membership.fhdc@cityofmhk.com	https://www.flinthillsdiscovery.org/3517/Become-a-Member	Proof of Residence Required
Museum of Discovery	500 President Clinton Ave Ste 150, Little Rock, AR 72201	Little Rock	AR	(501) 396-7050	info@museumofdiscovery.org	https://museumofdiscovery.org	Proof of Residence Required
Sternberg Museum of Natural History	3000 Sternberg Dr, Hays, KS 67601	Hays	KS	(785) 628-5569	sternbergpr@fhsu.edu	https://sternberg.fhsu.edu/	
Strataca	3650 E. Ave. G, Hutchinson, KS 67501	Hutchinson	KS	(620) 662-1425	info@underkansas.org	https://underkansas.org/	Proof of Residence Required
University of Kansas Natural History Museum	1345 Jayhawk Blvd, Lawrence, KS 66045	Lawrence	KS	(785) 864-4450	nhmvs@ku.edu	https://biodiversity.ku.edu/	
East Kentucky Science Center & Varia Planetarium	1 Bert Combs Dr, Prestonsburg, KY 41653	Prestonsburg	KY	(606) 889-4990	Cghent0002@kctcs.edu	https://bigsandy.kctcs.edu/community/eksc/index.aspx	
Highlands Museum and Discovery Center	1620 Winchester Avenue, Ashland, KY 41101	Ashland	KY	(606) 329-8888	info@highlandsmuseum.com	https://highlandsmuseum.com/	
Hopewell Museum	800 Pleasant Street, Paris, KY 40361	Paris	KY	(859) 987-7274	info@hopewellmuseum.org	https://www.hopewellmuseum.org/	
Membrship Kentucky Science Center	727 W Main St, Louisville, KY 40202	Louisville	KY	(502) 561-6100	kscmembership@kysciencecenter.org	https://kysciencecenter.org/	Proof of Residence Required
Owensboro Museum of Science and History	122 E 2nd St, Owensboro, KY 42303	Owensboro	KY	(270) 687-2732	support@owensboromuseum.org	https://owensboromuseum.org/	
River Discovery Center	117 South Water Street, Paducah, KY 42001	Paducah	KY	(270) 575-9958	llaunius@riverdiscoverycenter.org	https://www.riverdiscoverycenter.org/	
The Aviation Museum of Kentucky	4029 Airport Rd, Lexington, KY 40510	Lexington	KY	(859) 231-1219	museum@aviationky.org	https://www.aviationky.org/	Proof of Residence Required
The Living Arts & Science Center	362 N Martin Luther King Blvd, Lexington, KY 40508	Lexington	KY	(859) 252-5222	info@lasclex.org	https://lasclex.org/	Proof of Residence Required
Louisiana Art and Science Museum	100 River Rd S, Baton Rouge, LA 70802	Baton Rouge	LA	(225) 344-5272	lasm@lasm.org	https://www.lasm.org/	
Louisiana Children's Museum	15 Henry Thomas Drive, New Orleans, LA 70124	New Orleans	LA	(504) 523-1357		https://www.lcm.org/	
Sci-Port Discovery Center	820 Clyde Fant Pkwy, Shreveport, LA 71101	Shreveport	LA	(318) 424-3466	membership@sciport.org	https://sci-port.org/	Proof of Residence Required
University of Louisiana at Lafayette Science Museum	433 Jefferson Street, Lafayette, LA 70501	Lafayette	LA	(337) 291-5544		https://lafayettesciencemuseum.org/	Proof of Residence Required
Maine Discovery Museum	74 Main Street, Bangor, ME 04401	Bangor	ME	(207) 262-7200	info@mainediscoverymuseum.org	https://www.mainediscoverymuseum.org/	Proof of Residence Required
College Park Aviation Museum	1985 Corporal Frank Scott Drive, College Park, MD 20740	College Park	MD	(301) 864-6029	collegeparkaviation@pgparks.com	http://www.fieldoffirsts.com/	
Owls Head Transportation Museum	117 Museum St. PO Box 277, Owls Head, ME 04854	Owls Head	ME	(207) 594-4418	membership@ohtm.org	https://owlshead.org/	Proof of Residence Required
Western Science Center	2345 Searl Pkwy, Hemet, CA 92543	Hemet	CA				
Maryland Science Center	601 Light St, Baltimore, MD 21230	Baltimore	MD	(410) 685-2370	members@mdsci.org	https://www.mdsci.org/	Proof of Residence Required
SHU Discovery Science Center and Planetarium	4450 Park Ave, Bridgeport, CT 06604	Bridgeport	CT				Proof of Residence Required
EcoTarium	222 Harrington Way, Worcester, MA 01604	Worcester	MA	(508) 929-2700	info@ecotarium.com	https://ecotarium.org/	Proof of Residence Required
Harvard Museums of Science & Culture	26 Oxford St, Cambridge, MA 02138	Cambridge	MA	(617) 495-3045	members@hmsc.harvard.edu	https://hmsc.harvard.edu/	Proof of Residence Required
Museum of Science, Boston	1 Science Park, Boston, MA 02114	Boston	MA	(617) 723-2500	information@mos.org	https://www.mos.org/	
Springfield Museums	21 Edwards St, Springfield, MA 01103	Springfield	MA	(413) 263-6800	membership@springfieldmuseums.org	https://springfieldmuseums.org/	
Woods Hole Oceanographic Institution Ocean Science Discovery Center	15 School Street, Ocean Science Discovery Center, Woods Hole, MA 02543	Woods Hole	MA	(508) 289-2663	development@whoi.edu	https://www.whoi.edu/	Proof of Residence Required
Alden B. Dow Museum of Science & Art	1801 W Saint Andrews Rd, Midland, MI 48640	Midland	MI	(989) 631-5930	info@midlandcenter.org	https://www.midlandcenter.org/	
Ann Arbor Hands-On Museum	220 E Ann St, Ann Arbor, MI 48104	Ann Arbor	MI	(734) 995-5439	membership@discoverscienceandnature.org	https://discoverscienceandnature.org/	
Cranbrook Institute of Science	39221 Woodward Ave, Bloomfield, MI 48304	Bloomfield	MI	(248) 645-3245	sciencemembership@cranbrook.edu	https://science.cranbrook.edu/	
Dennos Museum Center	1701 E Front St, Traverse City, MI 49686	Traverse City	MI	(231) 995-1055	dmc@nmc.edu	https://www.dennosmuseum.org/	
Ella Sharp Museum	3225 Fourth St., Jackson, MI 49203	Jackson	MI	(517) 787-2320	info@ellasharp.org	https://ellasharpmuseum.org/	Proof of Residence Required
Flint Children's Museum	1602 West University Avenue, Flint, MI 48504	Flint	MI	(810) 767-5437	discovery@flintchildrensmuseum.org	https://flintchildrensmuseum.org/	Proof of Residence Required
Grand Rapids Children's Museum	11 Sheldon Ave, NE Grand Rapids, MI 49503	NE Grand Rapids	MI	(616) 235-4726	memberships@grcm.org	https://www.grcm.org	
Grand Rapids Public Museum	272 Pearl St NW, Grand Rapids, MI 49504	Grand Rapids	MI	(616) 929-1700	info@grpm.org	https://www.grpm.org/	
Impression 5 Science Center	200 Museum Dr, Lansing, MI 48933	Lansing	MI	(517) 485-8116	white@impression5.org	https://impression5.org/	Proof of Residence Required
Michigan Flight Museum & Air Adventures	47884 D St, Belleville, MI 48111	Belleville	MI	(734) 483-4030	grouptours@miflightmuseum.org	https://miflightmuseum.org/	
Bell Museum	2088 Larpenteur Ave W, Saint Paul, MN 55113	Saint Paul	MN	(612) 626-9660	Bellinfo@umn.edu	https://www.bellmuseum.umn.edu/	Proof of Residence Required
Cox Science Center and Aquarium	4801 Dreher Trl N, West Palm Beach, FL 33405	West Palm Beach	FL				Proof of Residence Required
Sloan Museum of Discovery and Longway Planetarium	1221 E Kearsley St, Flint, MI 48503	Flint	MI	(810) 237-3450	MFitzpatrick@SloanLongway.org	https://sloanlongway.org/	
University of Michigan Museum of Natural History	Biological Sciences Building, 1105 N University Ave, Ann Arbor, MI 48109	Ann Arbor	MI	(734) 764-0478	ummnh.membership@umich.edu	https://lsa.umich.edu/ummnh	
Duluth Children's Museum	2125 West Superior Street, Duluth, MN 55806	Duluth	MN	(218) 733-7543	explore@playduluth.org	https://www.duluthchildrensmuseum.org/	Proof of Residence Required
Headwaters Science Center	413 Beltrami Ave NW, Bemidji, MN 56601	Bemidji	MN	(218) 444-4472	contact@hscbemidji.org	https://www.hscbemidji.org/	Proof of Residence Required
Historical and Cultural Society of Clay County	202 1st Ave N, Hjemkomst Center, Moorhead, MN 56560	Moorhead	MN	(218) 299-5511		http://www.hcscconline.org/	
Lake Superior Zoo	7210 Fremont Street, Duluth, MN 55807	Duluth	MN	(218) 730-4500	info@lszoo.org	https://lszooduluth.org/	Proof of Residence Required
Minnesota Children's Museum	10 7th St W, Saint Paul, MN 55102	Saint Paul	MN	(651) 225-6000	mcm@mcm.org	https://mcm.org/	Proof of Residence Required
Mississippi Museum of Natural Science	2148 Riverside Dr, Jackson, MS 39202	Jackson	MS	(601) 576-6000	info@mmnsfoundation.com	https://www.mdwfp.com/location/museum-natural-science	
Science Museum of Minnesota	120 Kellogg Blvd W, Saint Paul, MN 55102	Saint Paul	MN	(651) 221-9444	info@smm.org	https://new.smm.org/	
The Bakken Museum	3537 Zenith Ave S, Minneapolis, MN 55416	Minneapolis	MN	(612) 926-3878	info@thebakken.org	https://thebakken.org/	Proof of Residence Required
The Works Museum	9740 Grand Ave S, Bloomington, MN 55420	Bloomington	MN	(952) 888-4262	memberships@theworks.org	https://theworks.org/	Proof of Residence Required
Tellus Science Museum	100 Tellus Drive, Cartersville, GA 30120	Cartersville	GA				
Bootheel Youth Museum	700A N Douglass St, Malden, MO 63863	Malden	MO	(573) 276-3600	info@bootheelyouthmuseum.org	https://www.bootheelyouthmuseum.org/	
Discovery Center of Springfield	438 E Saint Louis St, Springfield, MO 65806	Springfield	MO	(417) 862-9910	info@discoverycenter.org	https://www.discoverycenter.org/	Proof of Residence Required
Saint Louis Science Center	5050 Oakland Ave, Saint Louis, MO 63110	Saint Louis	MO	(314) 289-4400	memberships@slsc.org	https://www.slsc.org/	Proof of Residence Required
Union Station Kansas City	30 W Pershing Rd, Kansas City, MO 64108	Kansas City	MO	(816) 460-2020		https://unionstation.org/	
ExplorationWorks	995 Carousel Way, Helena, MT 59601	Helena	MT	(406) 457-1800	info@explorationworks.org	https://www.explorationworks.org/	
Montana Natural History Center	120 Hickory St Ste A, Missoula, MT 59801	Missoula	MT	(406) 327-0405	frontdesk@montananaturalist.org	https://www.montananaturalist.org/	
Columbus Area Children’s Museum	2500 14th St # 1, Columbus, NE 68601	Columbus	NE	(531) 230-8091	info@columbuslearnandplay.org	https://columbuslearnandplay.org/	Proof of Residence Required
Museum of the Rockies	600 West Kagy Boulevard, Bozeman, MT 59717	Bozeman	MT	(406) 994-2251	members@montana.edu	https://www.museumoftherockies.org/	
spectrUM Discovery Area	455 E Main St, Missoula, MT 59802	Missoula	MT	(406) 728-7836	spectrum@umontana.edu	https://www.umt.edu/spectrum	
Wise Wonders Science and Discovery Museum	3024 2nd Ave N, Billings, MT 59101	Billings	MT	(406) 702-1280	info@wisewonders.org	https://wisewonders.org/	
Edgerton Explorit Center	208 16th St, Aurora, NE 68818	Aurora	NE	(402) 694-4032	mary@edgerton.org	https://edgerton.org/	
Hastings Museum	1330 N Burlington Ave, Hastings, NE 68901	Hastings	NE	(402) 461-2399	info@hastingsmuseum.org	https://hastingsmuseum.org/	Proof of Residence Required
Kiewit Luminarium	345 Riverfront Drive, Omaha, NE 68102	Omaha	NE	(402) 502-336	info@kiewitluminarium.org	https://kiewitluminarium.org	Proof of Residence Required
